Status	Candidate	Current location	Suggested target	Reuse value	Blocking dependencies	Risk	Recommended next action
done	CatalogShadowStyle, CatalogElevation, catalogShadow	Packages/FolioraCore/Sources/DesignSystem/DesignSystem.swift	DesignSystem elevation tokens/modifier	High: shared shadow language for cards, panels, and detail sections	None; presentation-only SwiftUI	low	Keep in DesignSystem; add variants only when reused
done	CatalogListRowCard	Packages/FolioraCore/Sources/DesignSystem/DesignSystem.swift	DesignSystem row primitive	High: generic icon/title/subtitle row with no domain behavior	None; labels/images are caller-provided	low	Keep in DesignSystem
done	CatalogCornerRadii, CatalogLayoutInsets, CatalogSpacing, CatalogSemanticColors, CatalogPillPadding, catalogPillPadding	Packages/FolioraCore/Sources/DesignSystem/DesignSystem.swift	DesignSystem tokens/modifiers	Very high: used in Bells, Collections, Home, Books, editor UI	None after extraction; tokens remain visual-only	low	Keep as shared visual tokens
done	TagFlowLayout	Packages/FolioraCore/Sources/DesignSystem/DesignSystem.swift	DesignSystem layout primitive	High: generic wrapping layout for chips/tags	No domain dependencies	low	Keep in DesignSystem
candidate	Generic row shell from EnumSelectionRow, PlacePickerField, LocationPickerField	Catalog/Core/SharedUI/EditorFields.swift	CatalogDisclosureRow / CatalogValueRow	High: repeated title + trailing value + chevron pattern	Sheets and Place/Location must stay app-specific	medium	Extract only visual row label; keep picker behavior local
later	TagChip, PhotoSuggestedTagChip, FilterChip, SummaryPill, MetricPill visual style	EditorFields.swift, BellEditorView.swift, BellCatalogView.swift, BellCatalogDashboard.swift	CatalogChip / CatalogPill variants	High: repeated capsule, icon/text, selected tint states	Tag editing, search filters, dashboard stats are domain behavior	medium	Define generic pill/chip component only after separating visual state from feature meaning
done	SummaryGlassCardModifier visual boilerplate	Catalog/Features/Bells/List/BellCatalogView.swift uses catalogGlassPanel	Packages/FolioraCore/Sources/DesignSystem/DesignSystem.swift	High: shared material + rounded section + stroke pattern	Local wrapper and CatalogMediaContrast.glassStroke remain app-specific	low	Shared catalogGlassPanel extracted; keep feature wrapper local
candidate	Detail panel shell from detailSection	Catalog/Features/Bells/Detail/BellDetailView.swift	CatalogDetailSection / CatalogPanel	High: title + content + material/highlight/elevation reusable across detail screens	Bell-specific section titles/content stay local	low	Extract generic container only
candidate	Key/value row from detailRow	Catalog/Features/Bells/Detail/BellDetailView.swift	CatalogKeyValueRow	Medium: common detail display primitive	None if title/value are strings/views	low	Good small follow-up
later	DashboardDataHealthCard / DashboardTopGeographyCard visual shell	Catalog/Features/Bells/List/BellCatalogDashboard.swift	CatalogDashboardCard	Medium-high: reusable horizontal metric cards	Data health, geography, filters are bells-specific	medium	Extract only card layout after dashboard state/actions are fully caller-owned
later	SummaryCoverageRow, SummaryBreakdownRow, StatChip	Catalog/Features/Bells/List/BellCatalogDashboard.swift	CatalogProgressRow, CatalogStatChip	Medium: reusable dashboard/report primitives	BellPresenceFilter/actions stay local	medium	Extract generic row/chip after dashboard API stabilizes
later	Empty state + CTA pattern	CollectionsView.swift, HomeView.swift, StorageMapCard.swift, BookLibraryPlaceholderView.swift, BellCatalogView.swift	CatalogEmptyState / CatalogUnavailableState	Medium: repeated ContentUnavailableView + padding + CTA button	Copy/localized strings and creation actions are app-specific	medium	Extract wrapper only if a second app-family target repeats it
later	Floating circular toolbar/action icon	CollectionShellView.swift, BellCatalogSelectionBottomPanel.swift	CatalogIconActionButton	Medium: common circular material icon button	Camera/library menu and selection behavior stay local	medium	Extract icon button style, not menus
later	HomeIdentityHeader visual layout	Catalog/Features/Home/HomeDetailView.swift	Maybe CatalogIdentityHeader	Medium: icon + title + notes/subtitle header	Home model and empty notes copy stay app-specific	low	Extract only if collection/book detail needs same header
later	CollectionCard visual shell	Catalog/Core/SharedUI/CollectionCard.swift	Maybe CatalogGradientCard	Medium: large gradient card with icon tile/chip	CollectionSummary, kind, count label, background style are collection-domain/app-specific	medium	Keep local for now; maybe extract gradient card background/chip later
skip	MediaAssetGridTileView thumbnail styling	Catalog/Core/SharedUI/EditorFields.swift	Not yet, or CatalogThumbnailTile visual shell only	Medium visually, but behavior-heavy	MediaAsset, local file store, QuickLook, PhotosUI, deletion, cover state	high	Do not move now; behavior-heavy media UI belongs in app target
